URL,Title,ISSN,Homepage,How to publish,Publisher,Subject Area and Category
https://www.scimagojr.com/journalsearch.php?q=21101107176&tip=sid&clean=0,Artificial Intelligence in Geosciences,26665441,https://www.sciencedirect.com/journal/artificial-intelligence-in-geosciences,https://www2.cloud.editorialmanager.com/aiig/default2.aspx,KeAi Communications Co.,"Computer Science, Artificial Intelligence"
https://www.scimagojr.com/journalsearch.php?q=21101090720&tip=sid&clean=0,Frontiers in Digital Health,2673253X,https://www.frontiersin.org/journals/digital-health,https://www.frontiersin.org/journals/digital-health/for-authors/author-guidelines,Frontiers Media SA,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21100316001&tip=sid&clean=0,Journal of Biomedical Semantics,20411480,https://jbiomedsem.biomedcentral.com/,https://www.editorialmanager.com/jbsm/default.aspx,BioMed Central Ltd,"Computer Science, Computer Networks and Communications, Computer Science Applications, Information Systems"
https://www.scimagojr.com/journalsearch.php?q=21100197510&tip=sid&clean=0,Journal of Electrical and Computer Engineering,"20900147, 20900155",https://www.hindawi.com/journals/jece/,https://www.hindawi.com/journals/jece/guidelines/,Hindawi Publishing Corporation,"Computer Science, Computer Science (miscellaneous), Signal Processing"
https://www.scimagojr.com/journalsearch.php?q=19900191732&tip=sid&clean=0,Argument and Computation,"19462166, 19462174",https://www.iospress.nl/journal/argument-computation/,https://www.submissions.iospress.com/argument-and-computation/,IOS Press,"Computer Science, Artificial Intelligence, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21101142737&tip=sid&clean=0,Computational Urban Science,27306852,Homepage link not found,How to publish link not found,Springer,"Computer Science, Artificial Intelligence, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=4500151509&tip=sid&clean=0,International Journal of Applied Mathematics and Computer Science,1641876X,https://www.amcs.uz.zgora.pl/,https://www.amcs.uz.zgora.pl/?action=submission,Walter de Gruyter GmbH,"Computer Science, Computer Science (miscellaneous)"
https://www.scimagojr.com/journalsearch.php?q=21100812152&tip=sid&clean=0,International Journal of Networked and Distributed Computing,"22117938, 22117946",https://www.atlantis-press.com/journals/ijndc,https://www.atlantis-press.com/journals/ijndc/submit-your-paper,Springer International Publishing AG,"Computer Science, Computer Networks and Communications, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21100897215&tip=sid&clean=0,Revista de Educacion a Distancia,15787680,https://www.um.es/ead/red/,https://www.um.es/ead/red/normasRED.htm#_Toc481505686,Universidad de Murcia Universidad de Murcia in Scimago Institutions Rankings,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=19700174656&tip=sid&clean=0,Automatika,00051144,https://www.tandfonline.com/toc/taut20/current,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=taut20,Taylor and Francis Ltd.,"Computer Science, Computer Science (miscellaneous)"
https://www.scimagojr.com/journalsearch.php?q=21101049547&tip=sid&clean=0,EAI Endorsed Transactions on Industrial Networks and Intelligent Systems,24100218,https://eudl.eu/journal/inis,https://eudl.eu/instructions,European Alliance for Innovation,"Computer Science, Computer Networks and Communications, Computer Science Applications, Information Systems"
https://www.scimagojr.com/journalsearch.php?q=24783&tip=sid&clean=0,ETRI Journal,"12256463, 22337326",https://onlinelibrary.wiley.com/journal/22337326,https://mc.manuscriptcentral.com/etrij,John Wiley & Sons Inc.,"Computer Science, Computer Science (miscellaneous)"
